date_id,full_date,year,quarter,month,month_name,day,weekday
20250228,2025-02-28 05:52:06,2025,1,2,February,28,4
20250814,2025-08-14 22:25:58,2025,3,8,August,14,3
20240409,2024-04-09 00:49:19,2024,2,4,April,9,1
20240203,2024-02-03 12:21:07,2024,1,2,February,3,5
20250319,2025-03-19 13:29:11,2025,1,3,March,19,2
20240925,2024-09-25 16:00:56,2024,3,9,September,25,2
20241116,2024-11-16 21:49:12,2024,4,11,November,16,5
20250327,2025-03-27 16:10:42,2025,1,3,March,27,3
20241117,2024-11-17 23:47:20,2024,4,11,November,17,6
20250127,2025-01-27 12:03:58,2025,1,1,January,27,0
20240930,2024-09-30 10:39:53,2024,3,9,September,30,0
20250726,2025-07-26 06:57:55,2025,3,7,July,26,5
20250507,2025-05-07 08:30:13,2025,2,5,May,7,2
20250411,2025-04-11 20:08:06,2025,2,4,April,11,4
20250403,2025-04-03 02:36:42,2025,2,4,April,3,3
20250320,2025-03-20 15:20:10,2025,1,3,March,20,3
20250719,2025-07-19 23:54:49,2025,3,7,July,19,5
20250218,2025-02-18 13:52:44,2025,1,2,February,18,1
20240416,2024-04-16 02:19:09,2024,2,4,April,16,1
20240719,2024-07-19 23:42:13,2024,3,7,July,19,4
20240129,2024-01-29 19:10:09,2024,1,1,January,29,0
20250510,2025-05-10 12:35:04,2025,2,5,May,10,5
20240405,2024-04-05 10:08:16,2024,2,4,April,5,4
20240704,2024-07-04 15:57:47,2024,3,7,July,4,3
20240612,2024-06-12 19:28:12,2024,2,6,June,12,2
20250921,2025-09-21 02:23:58,2025,3,9,September,21,6
20250507,2025-05-07 07:54:39,2025,2,5,May,7,2
20240830,2024-08-30 13:00:53,2024,3,8,August,30,4
20241224,2024-12-24 00:04:43,2024,4,12,December,24,1
20250322,2025-03-22 13:07:04,2025,1,3,March,22,5
20250805,2025-08-05 09:56:58,2025,3,8,August,5,1
20240716,2024-07-16 19:12:34,2024,3,7,July,16,1
20240717,2024-07-17 23:54:57,2024,3,7,July,17,2
20250327,2025-03-27 04:05:29,2025,1,3,March,27,3
20250410,2025-04-10 13:54:59,2025,2,4,April,10,3
20241229,2024-12-29 11:56:27,2024,4,12,December,29,6
20240608,2024-06-08 16:32:56,2024,2,6,June,8,5
20250221,2025-02-21 21:34:52,2025,1,2,February,21,4
20241119,2024-11-19 08:54:06,2024,4,11,November,19,1
20250528,2025-05-28 23:24:47,2025,2,5,May,28,2
20241002,2024-10-02 10:20:21,2024,4,10,October,2,2
20250104,2025-01-04 07:17:21,2025,1,1,January,4,5
20241114,2024-11-14 19:03:35,2024,4,11,November,14,3
20250322,2025-03-22 06:27:32,2025,1,3,March,22,5
20240220,2024-02-20 05:28:37,2024,1,2,February,20,1
20241020,2024-10-20 17:29:14,2024,4,10,October,20,6
20241011,2024-10-11 10:32:46,2024,4,10,October,11,4
20250815,2025-08-15 20:50:08,2025,3,8,August,15,4
20250608,2025-06-08 09:40:04,2025,2,6,June,8,6
20240913,2024-09-13 02:03:43,2024,3,9,September,13,4
20250508,2025-05-08 00:51:09,2025,2,5,May,8,3
20250927,2025-09-27 13:13:06,2025,3,9,September,27,5
20241202,2024-12-02 02:46:27,2024,4,12,December,2,0
20241026,2024-10-26 11:08:17,2024,4,10,October,26,5
20240419,2024-04-19 07:55:19,2024,2,4,April,19,4
20240921,2024-09-21 10:33:48,2024,3,9,September,21,5
20240315,2024-03-15 03:55:16,2024,1,3,March,15,4
20240302,2024-03-02 17:29:06,2024,1,3,March,2,5
20250423,2025-04-23 10:25:30,2025,2,4,April,23,2
20241013,2024-10-13 05:27:13,2024,4,10,October,13,6
20240813,2024-08-13 02:28:16,2024,3,8,August,13,1
20241001,2024-10-01 05:52:27,2024,4,10,October,1,1
20250530,2025-05-30 14:07:49,2025,2,5,May,30,4
20241226,2024-12-26 23:32:30,2024,4,12,December,26,3
20250904,2025-09-04 10:28:53,2025,3,9,September,4,3
20241212,2024-12-12 00:31:19,2024,4,12,December,12,3
20250814,2025-08-14 21:42:26,2025,3,8,August,14,3
20241118,2024-11-18 19:38:35,2024,4,11,November,18,0
20241231,2024-12-31 19:25:31,2024,4,12,December,31,1
20250819,2025-08-19 08:26:01,2025,3,8,August,19,1
20240427,2024-04-27 04:48:14,2024,2,4,April,27,5
20250507,2025-05-07 10:36:52,2025,2,5,May,7,2
20240229,2024-02-29 01:23:56,2024,1,2,February,29,3
20250314,2025-03-14 10:48:01,2025,1,3,March,14,4
20241013,2024-10-13 18:12:43,2024,4,10,October,13,6
20240216,2024-02-16 09:33:22,2024,1,2,February,16,4
20240212,2024-02-12 23:19:32,2024,1,2,February,12,0
20241025,2024-10-25 21:34:38,2024,4,10,October,25,4
20240301,2024-03-01 21:39:25,2024,1,3,March,1,4
20240928,2024-09-28 05:34:23,2024,3,9,September,28,5
20240621,2024-06-21 23:19:57,2024,2,6,June,21,4
20250526,2025-05-26 19:31:40,2025,2,5,May,26,0
20241014,2024-10-14 06:28:37,2024,4,10,October,14,0
20250304,2025-03-04 17:56:56,2025,1,3,March,4,1
20250815,2025-08-15 18:39:20,2025,3,8,August,15,4
20240720,2024-07-20 19:57:11,2024,3,7,July,20,5
20250311,2025-03-11 16:52:34,2025,1,3,March,11,1
20241228,2024-12-28 03:28:46,2024,4,12,December,28,5
20250721,2025-07-21 05:39:50,2025,3,7,July,21,0
20240309,2024-03-09 13:44:42,2024,1,3,March,9,5
20241030,2024-10-30 22:12:14,2024,4,10,October,30,2
20240711,2024-07-11 04:57:19,2024,3,7,July,11,3
20250617,2025-06-17 09:51:10,2025,2,6,June,17,1
20250201,2025-02-01 18:03:56,2025,1,2,February,1,5
20250226,2025-02-26 16:12:11,2025,1,2,February,26,2
20241104,2024-11-04 11:56:09,2024,4,11,November,4,0
20241017,2024-10-17 15:01:08,2024,4,10,October,17,3
20250429,2025-04-29 10:38:07,2025,2,4,April,29,1
20250821,2025-08-21 17:47:42,2025,3,8,August,21,3
20240422,2024-04-22 11:27:50,2024,2,4,April,22,0
20250327,2025-03-27 00:46:52,2025,1,3,March,27,3
20240628,2024-06-28 12:04:05,2024,2,6,June,28,4
20250811,2025-08-11 01:05:27,2025,3,8,August,11,0
20241104,2024-11-04 05:51:55,2024,4,11,November,4,0
20240506,2024-05-06 18:32:30,2024,2,5,May,6,0
20241119,2024-11-19 11:32:25,2024,4,11,November,19,1
20240506,2024-05-06 02:06:15,2024,2,5,May,6,0
20250807,2025-08-07 18:57:52,2025,3,8,August,7,3
20240316,2024-03-16 23:03:26,2024,1,3,March,16,5
20240315,2024-03-15 15:57:51,2024,1,3,March,15,4
20250413,2025-04-13 08:23:31,2025,2,4,April,13,6
20240429,2024-04-29 02:04:28,2024,2,4,April,29,0
20240912,2024-09-12 19:02:18,2024,3,9,September,12,3
20240327,2024-03-27 22:35:18,2024,1,3,March,27,2
20240409,2024-04-09 03:44:55,2024,2,4,April,9,1
20250104,2025-01-04 06:32:45,2025,1,1,January,4,5
20250107,2025-01-07 14:43:16,2025,1,1,January,7,1
20250223,2025-02-23 16:09:03,2025,1,2,February,23,6
20250519,2025-05-19 21:05:53,2025,2,5,May,19,0
20241015,2024-10-15 05:46:27,2024,4,10,October,15,1
20250505,2025-05-05 03:09:01,2025,2,5,May,5,0
20250427,2025-04-27 15:42:15,2025,2,4,April,27,6
20240816,2024-08-16 16:27:24,2024,3,8,August,16,4
20241006,2024-10-06 02:46:46,2024,4,10,October,6,6
20240420,2024-04-20 06:29:45,2024,2,4,April,20,5
20250818,2025-08-18 03:45:44,2025,3,8,August,18,0
20250802,2025-08-02 08:12:50,2025,3,8,August,2,5
20241120,2024-11-20 17:14:29,2024,4,11,November,20,2
20250401,2025-04-01 23:13:07,2025,2,4,April,1,1
20250111,2025-01-11 15:52:32,2025,1,1,January,11,5
20241014,2024-10-14 13:04:08,2024,4,10,October,14,0
20240616,2024-06-16 15:06:25,2024,2,6,June,16,6
20250109,2025-01-09 08:07:28,2025,1,1,January,9,3
20250210,2025-02-10 21:56:23,2025,1,2,February,10,0
20240315,2024-03-15 11:29:09,2024,1,3,March,15,4
20241214,2024-12-14 09:37:58,2024,4,12,December,14,5
20241224,2024-12-24 08:30:16,2024,4,12,December,24,1
20250917,2025-09-17 18:50:29,2025,3,9,September,17,2
20241216,2024-12-16 07:27:44,2024,4,12,December,16,0
20250507,2025-05-07 03:30:02,2025,2,5,May,7,2
20240210,2024-02-10 20:22:45,2024,1,2,February,10,5
20240719,2024-07-19 06:43:12,2024,3,7,July,19,4
20240912,2024-09-12 01:56:03,2024,3,9,September,12,3
20240322,2024-03-22 09:06:07,2024,1,3,March,22,4
20250508,2025-05-08 06:56:58,2025,2,5,May,8,3
20240805,2024-08-05 18:48:50,2024,3,8,August,5,0
20241221,2024-12-21 11:45:16,2024,4,12,December,21,5
20241006,2024-10-06 10:08:07,2024,4,10,October,6,6
20240811,2024-08-11 01:43:35,2024,3,8,August,11,6
20240723,2024-07-23 04:32:16,2024,3,7,July,23,1
20240501,2024-05-01 22:42:44,2024,2,5,May,1,2
20250312,2025-03-12 07:52:46,2025,1,3,March,12,2
20240818,2024-08-18 17:55:12,2024,3,8,August,18,6
20241115,2024-11-15 02:49:32,2024,4,11,November,15,4
20240829,2024-08-29 01:03:26,2024,3,8,August,29,3
20240318,2024-03-18 02:37:52,2024,1,3,March,18,0
20240503,2024-05-03 23:42:15,2024,2,5,May,3,4
20250216,2025-02-16 13:46:26,2025,1,2,February,16,6
20250508,2025-05-08 12:58:38,2025,2,5,May,8,3
20250509,2025-05-09 11:09:10,2025,2,5,May,9,4
20241209,2024-12-09 11:32:22,2024,4,12,December,9,0
20250605,2025-06-05 02:50:54,2025,2,6,June,5,3
20240229,2024-02-29 22:09:52,2024,1,2,February,29,3
20250708,2025-07-08 15:28:42,2025,3,7,July,8,1
20240709,2024-07-09 10:50:51,2024,3,7,July,9,1
20240923,2024-09-23 16:43:39,2024,3,9,September,23,0
20250119,2025-01-19 11:36:36,2025,1,1,January,19,6
20240814,2024-08-14 11:12:23,2024,3,8,August,14,2
20240607,2024-06-07 21:33:38,2024,2,6,June,7,4
20250818,2025-08-18 21:55:14,2025,3,8,August,18,0
20250820,2025-08-20 07:05:53,2025,3,8,August,20,2
20250715,2025-07-15 23:00:00,2025,3,7,July,15,1
20250419,2025-04-19 10:14:53,2025,2,4,April,19,5
20241102,2024-11-02 23:28:33,2024,4,11,November,2,5
20241211,2024-12-11 05:34:37,2024,4,12,December,11,2
20250818,2025-08-18 16:20:56,2025,3,8,August,18,0
20240115,2024-01-15 17:05:29,2024,1,1,January,15,0
20240821,2024-08-21 16:26:48,2024,3,8,August,21,2
20240218,2024-02-18 11:24:48,2024,1,2,February,18,6
20250414,2025-04-14 23:37:30,2025,2,4,April,14,0
20250624,2025-06-24 14:50:30,2025,2,6,June,24,1
20241215,2024-12-15 01:03:23,2024,4,12,December,15,6
20240802,2024-08-02 04:41:33,2024,3,8,August,2,4
20250905,2025-09-05 07:19:50,2025,3,9,September,5,4
20250615,2025-06-15 09:45:42,2025,2,6,June,15,6
20240613,2024-06-13 20:39:36,2024,2,6,June,13,3
20250518,2025-05-18 06:44:05,2025,2,5,May,18,6
20240621,2024-06-21 23:15:32,2024,2,6,June,21,4
20241120,2024-11-20 17:17:56,2024,4,11,November,20,2
20250608,2025-06-08 18:56:06,2025,2,6,June,8,6
20240511,2024-05-11 06:59:21,2024,2,5,May,11,5
20241023,2024-10-23 00:50:57,2024,4,10,October,23,2
20250327,2025-03-27 11:40:03,2025,1,3,March,27,3
20240603,2024-06-03 02:31:09,2024,2,6,June,3,0
20240503,2024-05-03 21:05:32,2024,2,5,May,3,4
20240316,2024-03-16 05:40:23,2024,1,3,March,16,5
20240207,2024-02-07 17:19:39,2024,1,2,February,7,2
20240815,2024-08-15 21:40:43,2024,3,8,August,15,3
20240320,2024-03-20 04:53:22,2024,1,3,March,20,2
20250731,2025-07-31 00:27:59,2025,3,7,July,31,3
20240601,2024-06-01 10:54:27,2024,2,6,June,1,5
20240814,2024-08-14 09:23:50,2024,3,8,August,14,2
20250705,2025-07-05 06:59:31,2025,3,7,July,5,5
20240329,2024-03-29 05:52:21,2024,1,3,March,29,4
20241003,2024-10-03 15:43:00,2024,4,10,October,3,3
20250313,2025-03-13 03:19:03,2025,1,3,March,13,3
20250624,2025-06-24 15:21:47,2025,2,6,June,24,1
20241219,2024-12-19 02:19:07,2024,4,12,December,19,3
20241214,2024-12-14 05:29:57,2024,4,12,December,14,5
20250312,2025-03-12 03:49:21,2025,1,3,March,12,2
20240819,2024-08-19 15:05:48,2024,3,8,August,19,0
20240825,2024-08-25 07:28:12,2024,3,8,August,25,6
20250626,2025-06-26 15:49:31,2025,2,6,June,26,3
20241112,2024-11-12 23:19:51,2024,4,11,November,12,1
20250903,2025-09-03 09:29:14,2025,3,9,September,3,2
20250720,2025-07-20 07:48:11,2025,3,7,July,20,6
20241108,2024-11-08 18:46:04,2024,4,11,November,8,4
20241119,2024-11-19 11:51:26,2024,4,11,November,19,1
20240527,2024-05-27 15:53:24,2024,2,5,May,27,0
20250512,2025-05-12 10:30:45,2025,2,5,May,12,0
20250430,2025-04-30 04:14:09,2025,2,4,April,30,2
20250604,2025-06-04 02:57:45,2025,2,6,June,4,2
20240330,2024-03-30 22:37:37,2024,1,3,March,30,5
20240627,2024-06-27 18:10:46,2024,2,6,June,27,3
20240322,2024-03-22 18:53:53,2024,1,3,March,22,4
20241209,2024-12-09 08:36:14,2024,4,12,December,9,0
20240831,2024-08-31 14:04:20,2024,3,8,August,31,5
20250222,2025-02-22 19:59:29,2025,1,2,February,22,5
20250609,2025-06-09 00:53:32,2025,2,6,June,9,0
20240709,2024-07-09 03:55:21,2024,3,7,July,9,1
20250926,2025-09-26 16:19:43,2025,3,9,September,26,4
20240710,2024-07-10 03:32:53,2024,3,7,July,10,2
20240706,2024-07-06 14:03:01,2024,3,7,July,6,5
20240219,2024-02-19 08:36:50,2024,1,2,February,19,0
20250412,2025-04-12 13:57:39,2025,2,4,April,12,5
20250128,2025-01-28 15:07:57,2025,1,1,January,28,1
20250906,2025-09-06 03:13:28,2025,3,9,September,6,5
20240120,2024-01-20 12:03:01,2024,1,1,January,20,5
20250109,2025-01-09 14:39:57,2025,1,1,January,9,3
20240412,2024-04-12 15:35:44,2024,2,4,April,12,4
20240519,2024-05-19 15:46:28,2024,2,5,May,19,6
20240817,2024-08-17 07:02:29,2024,3,8,August,17,5
20241101,2024-11-01 14:32:14,2024,4,11,November,1,4
20250503,2025-05-03 02:49:15,2025,2,5,May,3,5
20240104,2024-01-04 11:07:12,2024,1,1,January,4,3
20241028,2024-10-28 14:14:44,2024,4,10,October,28,0
20240318,2024-03-18 14:42:42,2024,1,3,March,18,0
20240524,2024-05-24 06:17:42,2024,2,5,May,24,4
20250422,2025-04-22 17:04:39,2025,2,4,April,22,1
20250116,2025-01-16 14:39:25,2025,1,1,January,16,3
20240723,2024-07-23 07:46:04,2024,3,7,July,23,1
20240813,2024-08-13 10:17:13,2024,3,8,August,13,1
20241108,2024-11-08 13:47:03,2024,4,11,November,8,4
20250111,2025-01-11 11:23:27,2025,1,1,January,11,5
20240402,2024-04-02 04:40:15,2024,2,4,April,2,1
20240906,2024-09-06 20:44:17,2024,3,9,September,6,4
20240410,2024-04-10 13:58:16,2024,2,4,April,10,2
20250228,2025-02-28 05:03:37,2025,1,2,February,28,4
20240414,2024-04-14 03:38:14,2024,2,4,April,14,6
20250523,2025-05-23 14:15:23,2025,2,5,May,23,4
20240723,2024-07-23 11:30:23,2024,3,7,July,23,1
20240926,2024-09-26 04:59:36,2024,3,9,September,26,3
20250927,2025-09-27 07:42:51,2025,3,9,September,27,5
20241027,2024-10-27 01:52:38,2024,4,10,October,27,6
20241215,2024-12-15 00:00:47,2024,4,12,December,15,6
20240401,2024-04-01 20:37:23,2024,2,4,April,1,0
20240324,2024-03-24 20:13:56,2024,1,3,March,24,6
20240526,2024-05-26 20:10:54,2024,2,5,May,26,6
20250829,2025-08-29 20:20:17,2025,3,8,August,29,4
